id,line,block,day,sex,wing,leg,pupa
026-B-2-M-1267,26,13,2,M,13.90932416,13.45437644,14.40000401
026-B-2-M-1269,26,13,2,M,13.67308672,13.34227167,14.23206929
026-B-2-M-1270,26,13,2,M,13.62942324,13.64731596,14.19080547
026-B-2-M-1271,26,13,2,M,13.59735243,13.36728076,14.18592268
026-B-2-M-1272,26,13,2,M,13.74444883,13.2668879,14.37000676
026-B-2-M-1274,26,13,2,M,13.68886637,13.32904022,14.24962166
028-A-0-F-2353,28,13,0,F,14.09035964,,14.67497166
028-A-0-F-2354,28,13,0,F,14.13286987,13.75045901,14.66698722
028-A-0-F-2355,28,13,0,F,13.90141849,13.66103063,14.63498035
028-A-0-F-2357,28,13,0,F,14.19051165,,14.74917621
028-A-0-F-2358,28,13,0,F,14.23527231,13.80918978,14.78897086
028-A-0-F-2360,28,13,0,F,14.06656262,13.68157022,14.49580318
028-A-0-F-2362,28,13,0,F,14.04910174,13.75004636,14.56664731
028-A-0-M-2351,28,13,0,M,14.00771479,13.81338963,14.64384
028-A-0-M-2352,28,13,0,M,13.8971228,13.6641548,14.51856823
028-A-0-M-2356,28,13,0,M,13.82957124,13.72934083,14.61956922
028-A-0-M-2359,28,13,0,M,13.97591535,13.7356054,14.58189834
028-A-0-M-2361,28,13,0,M,14.05361523,13.74282854,14.30624431
028-A-0-M-2363,28,13,0,M,13.89623303,13.73305515,14.51165954
028-A-1-F-2233,28,10,1,F,14.01247932,,14.57288626
028-A-1-F-2234,28,10,1,F,13.99661304,13.7346333,14.52644539
028-A-1-F-2235,28,10,1,F,13.92272955,13.43651898,14.42190246
028-A-1-F-2678,28,13,1,F,14.00616645,13.63748416,14.5126459
028-A-1-F-2679,28,13,1,F,14.07273703,13.59857343,14.56979912
028-A-1-F-2683,28,13,1,F,14.17915595,13.71577226,14.64304463
028-A-1-F-2684,28,13,1,F,14.2320277,13.84809566,14.63508765
028-A-1-F-2685,28,13,1,F,14.07265275,13.63745224,14.51699452
028-A-1-F-2686,28,13,1,F,14.21498979,13.78718147,14.56463657
028-A-1-F-2688,28,13,1,F,14.01188294,13.69272803,14.541844
028-A-1-F-2690,28,13,1,F,14.21790629,,14.66412686
028-A-1-F-2693,28,13,1,F,14.2069741,13.89101136,14.59268473
028-A-1-F-2695,28,13,1,F,14.17590926,13.65042794,14.66515626
028-A-1-F-2698,28,13,1,F,14.32425341,13.87342392,14.84985664
028-A-1-F-2699,28,13,1,F,14.15672724,13.77690229,14.67911045
028-A-1-F-2701,28,13,1,F,14.28499718,13.8869783,14.71722863
028-A-1-F-2702,28,13,1,F,14.21395911,13.76908077,14.68844509
028-A-1-F-2703,28,13,1,F,14.18424114,13.95897014,14.65893902
028-A-1-F-2705,28,13,1,F,14.13186755,13.79470249,14.60884425
028-A-1-F-2708,28,13,1,F,13.98913272,13.66700699,14.48865912
028-A-1-F-2714,28,13,1,F,14.25975141,13.86579704,14.70236903
028-A-1-M-2236,28,10,1,M,13.80497718,13.56275011,14.27425144
028-A-1-M-2680,28,13,1,M,13.96300859,13.7046363,14.54453865
028-A-1-M-2681,28,13,1,M,13.95840325,13.7667641,14.50031645
028-A-1-M-2682,28,13,1,M,14.17623768,13.94456573,14.68954626
028-A-1-M-2687,28,13,1,M,14.04630239,13.78740175,14.6054095
028-A-1-M-2689,28,13,1,M,14.04658418,,14.63251191
028-A-1-M-2691,28,13,1,M,13.91881416,13.6729226,14.47731177
028-A-1-M-2692,28,13,1,M,14.1325116,13.91250794,14.67431841
028-A-1-M-2694,28,13,1,M,14.01659417,13.75660371,14.53412485
028-A-1-M-2696,28,13,1,M,13.9654501,13.87033034,14.57628343
028-A-1-M-2697,28,13,1,M,14.03891488,,14.62599746
028-A-1-M-2700,28,13,1,M,13.90290586,13.58930194,14.46066937
028-A-1-M-2704,28,13,1,M,14.01623998,13.75761316,14.56492351
028-A-1-M-2706,28,13,1,M,13.99632515,13.75394111,14.59757924
028-A-1-M-2707,28,13,1,M,14.06460486,,14.58401018
028-A-1-M-2709,28,13,1,M,14.04688415,13.79099795,14.6611998
028-A-1-M-2710,28,13,1,M,14.0148916,13.72306055,14.52510245
028-A-1-M-2711,28,13,1,M,14.0711817,13.78224707,14.7000593
028-A-1-M-2712,28,13,1,M,14.09743911,13.89685756,14.59110224
028-A-1-M-2713,28,13,1,M,14.00479118,13.7764655,14.54632527
028-A-2-F-2621,28,13,2,F,14.09359068,13.89966689,14.73786342
028-A-2-F-2622,28,13,2,F,13.98267025,13.64950567,14.51377771
028-A-2-F-2623,28,13,2,F,14.1939874,13.6970103,14.6669448
028-A-2-F-2626,28,13,2,F,13.97073752,13.63836369,14.43550631
028-A-2-F-2628,28,13,2,F,14.15890875,13.45393198,14.67207253
028-A-2-F-2633,28,13,2,F,13.96092173,13.63459259,14.47757826
028-A-2-F-2634,28,13,2,F,13.87460083,13.62828959,14.41380196
028-A-2-F-2636,28,13,2,F,14.08715318,13.73690801,14.59936482
028-A-2-F-2638,28,13,2,F,14.16498293,,14.64906711
028-A-2-F-2641,28,13,2,F,13.91499112,13.80258448,14.47220206
028-A-2-F-2642,28,13,2,F,14.14238474,13.74575947,14.64255429
028-A-2-F-2644,28,13,2,F,13.99081254,13.69936654,14.55850829
028-A-2-F-2645,28,13,2,F,13.98669533,13.71395844,14.55351307
028-A-2-F-2647,28,13,2,F,13.87667151,,14.34312986
028-A-2-F-2648,28,13,2,F,14.17520185,13.77585276,14.63260741
028-A-2-F-2649,28,13,2,F,14.04196143,13.71708973,14.54887254
028-A-2-F-2650,28,13,2,F,14.12710006,13.65517764,14.58796643
028-A-2-F-2651,28,13,2,F,13.91690673,,14.49504149
028-A-2-F-2652,28,13,2,F,14.22437322,13.82761187,14.6922894
028-A-2-F-2654,28,13,2,F,13.87016918,13.61317924,14.47536002
028-A-2-F-2656,28,13,2,F,13.90032127,13.54796909,14.31386277
028-A-2-F-2657,28,13,2,F,14.01238487,13.82094317,14.55445519
028-A-2-F-2658,28,13,2,F,13.67657154,13.52554433,
028-A-2-F-2659,28,13,2,F,14.2761713,13.79992438,14.69779508
028-A-2-F-2663,28,13,2,F,14.0023494,13.85580785,14.62083679
